기업명,대학명,대표자,사업자등록번호,산업분류,업종업태,주소
나노바이오시스템,전남대학교,김장호,291-86-00857,스마트뿌리,제조업,"광주 북구 첨단과기로208번길 43-22 와이어스파크 A동 1820호 (오룡동, 와이어스파크(지식산업센터))"
나노솔루션,전남대학교,김형열,418-81-21582,스마트뿌리,카본나노튜브/제조업,"전북 전주시 덕진구 반룡로 110-11 101 (팔복동2가, 전주기계탄소 기술원)"
나눔테크,전남대학교,최무진,410-81-98020,스마트뿌리,제조업,"광주 북구 첨단벤처소로 57 (월출동, ㈜나눔테크)"
나로수,전남대학교,김명석,515-87-02200,데이터,정보통신업/응용소프트웨어개발및공급,"광주 광산구 남부대길 38 8401호 (월계동, 협동관)"
나인필,전남대학교,박영준,409-81-99766,데이터,서비스/도소매,"광주 북구 첨단과기로176번길 27 622호 (오룡동, 광주디자인센터)"
나주시조합공동사업법인,전남대학교,박영웅,412-82-06498,메디헬스,도소매,"전남 나주시 왕곡면 영산포로 22 2층 사무실 (장산리, 나주시농산물유통센타몣)"
남구 미래아동병원,조선간호대학교,김병희,408-90-37487,,보건업 및 사회복지 서비스업,
남도마을로협동조합,조선대학교,정은채,178-82-00537,,연구개발,
노드큐어,전남대학교,박종환,104-86-61531,데이터,"의학및약학연구개발업/전문,과학및기술서비스업","광주 북구 용봉로 77 농업전문창업보육센터 208호 (용봉동, 전남대학교)"
노무법인 더원인사노무컨설팅,조선대학교,김영미,264-81-12910,,서비스,
노바스이지,전남대학교,이영남,130-81-51740,,전자부품 실장기판 제조업,
노아닉스,전남대학교,최형준,301-86-00737,메디헬스,그외기타의료용기기제조업/제조업,충북 청주시 흥덕구 오송읍 정중리 678 노아닉스 (28164)
논 오프 업사이클링,조선대학교,홍순길,546-01-00949,,제조 임대 서비스,
농업회사법인 가온누리,전남대학교,김현성,409-86-31077,메디헬스,농산물/도소배,"전라남도 담양군 무정면 영천성도길 261 (무정면, 영농조합법인 광수) 261"
농업회사법인 다와,전남대학교,김대원,680-88-01502,메디헬스,"버섯,임산물/농업,도소매",전라남도 장흥군 유치면 대천운월길 165-40 (유치면) 165-40
농업회사법인 대경팜푸드,전남대학교,이진,277-88-02358,메디헬스,농산물/도소매,전라남도 함평군 함평읍 함장로 1015 (함평읍) 1015
농업회사법인 백련동편백농원,조선대학교,정순임,575-86-00148,,편백제품 / 편백체험학습장 및 교육업,
농업회사법인 에코아이디어스,조선대학교,정인선,175-81-02164,,전통주,
농업회사법인 정병석명인황칠,전남대학교,정병석,360-87-00335,스마트뿌리,황칠관련제품 외/제조업 외,"광주 서구 풍암2로 38 상가동 201호 정병석명인황칠 (풍암동, 주은모아아파트)"
농업회사법인 현대에프엔비,조선대학교,박승만,409-86-32324,,"기타 과실, 채소 가공 및 저장 처리업",
농업회사법인도두맘,전남대학교,홍여신,207-81-99724,스마트뿌리,"제조업, 도소매/차류,빵류,떡류",전남 강진군 군동면 석교로 202 ㈜도두맘 (석교리)
농업회사법인모두,전남대학교,김재용,409-86-49960,메디헬스,"양돈업/축산업,도소매",전남 화순군 동복면 백아로 434-77 농업회사법인㈜모두 (안성리)
농업회사법인허니엣비,전남대학교,권오길,574-86-01519,메디헬스,재조업/스마트팜,"전남 장성군 남면 나노산단3로 44 202호 (삼태리, 디와이빌딩)"
누리피드,전남대학교,안후상,280-81-01996,스마트뿌리,단미사료 및 기타 사료 제조업/ 제조업,경기 안성시 고삼면 미륵로 350 ㈜누리피드
누마스,전남대학교,김영진,410-87-05538,,도장 및 기타 피막처리업,
뉴런모터스,전남대학교,조미영,410-87-07180,스마트뿌리,제조업,"광주광역시 광산구 진곡산단6번로 33 (고룡동, (주)뉴런테크) 본관"
뉴챕터컴퍼니,전남대학교,서수진,473-57-00371,스마트뿌리,제조업/의류,서울특별시 서대문구 신촌로 325 (북아현동) 3층
뉴코애드윈드,전남대학교,장민우,447-86-00746,문화콘텐츠,제조/옥외광고,광주광역시 광산구 평동로803번길 43-7 (옥동) (주)뉴코애드윈드
닐사이언스,전남대학교,심욱,740-86-01775,데이터,"전문, 과학 및 기술서비스업","전남 나주시 교육길 13 F동 206호 (빛가람동, 스마크파크 지식산업센터)"
닐사이언스,조선대학교,심욱,740-86-01775,,"전문, 과학 및 기술서비스업",
다사랑병원,조선간호대학교,신재정,410-90-49083,,보건업 및 사회복지 서비스업,
다산바이오텍,조선대학교,오완구,699-81-03015,,"제조업, 도매 및 소매업",
다온알에스,전남대학교,정필수,561-81-00047,스마트뿌리,"농업기계/제조업(정밀기기 및 과학기기 도매업, 스마트팜 용 탄산가스 발생기 제조 등)","광주 북구 용봉로 77 전남대 정비센터 (용봉동, 전남대학교)"
다향어울림 협동조합,조선대학교,문선희,687-87-00434,,"비누, 캔들, 디퓨저, 방향제, 공예체험",
담양문화원,조선대학교,강성남,409-82-12510,,문화서비스,
담양미술협회,조선대학교,한삼채,308-82-71502,,문화서비스,
담청랩,조선대학교,강경필,277-46-00573,,도소매.전문과학및기술서비스업,
대경,전남대학교,이진,412-81-46042,스마트뿌리,"철물,공구/도소매",전라남도 함평군 함평읍 영수길 326 (함평읍) 326
대경보스텍,전남대학교,최미경,410-81-67487,,플라스틱 제품 제조업,
대성세무회계사무소,조선대학교,박병현,113-21-55688,,"공인회계사, 컨설팅",
대성인더스,전남대학교,박재상,183-86-02215,스마트뿌리,제조업,전남 함평군 학교면 학교공단길 48 대성인더스 (죽정리)
대신에스앤비,전남대학교,서창환,608-81-79241,에너지,"제조,전기,건설업","경남 함안군 군북면 함안산단3길 24 (사도리, (주)대신에스앤비)"
대신전자,전남대학교,박정일,409-86-11974,,절연 코드세트 및 기타 도체 제조업,
대양전기,전남대학교,김재평,417-81-20635,에너지,전기공사/ 건설,전남 여수시 소라면 서부로 57-19 대양전기주식회사 (죽림리)
대웅제약,전남대학교,전승호,124-86-01143,스마트뿌리,"제조업, 제약업",경기 화성시 향남읍 제약공단4길 35-14 대웅제약 (상신리)
대유플러스 김제,전남대학교,박상민,371-85-02076,스마트뿌리,제조업,전북특별자치도 김제시 용지면 용지로 55 대유플러스 김제 (효정리)
대정,한국폴리텍Ⅴ대학,김근성,410-81-82436,,"제조, 도매",
대한공조,조선대학교,김태규,124-81-85319,,제조,
대현단자,전남대학교,이현두,137-81-76757,스마트뿌리,"제조업 전자부품,단자금형",인천 서구 파랑로466번길 75 (청라동)
더 이롭개,전남대학교,박우빈,604-06-20737,스마트뿌리,제조업,광주 광산구 상완길 124 (수완동)
더드림글로벌,전남대학교,윤춘이,708-88-01872,스마트뿌리,건설업,전남 나주시 정보화길 26 (빛가람동) 419호
더블유케이산업,전남대학교,임기성,442-88-02189,스마트뿌리,제조업,"울산 북구 매곡산업1길 12 (매곡동, 나원산업주식회사)"
더영플레이,조선대학교,임근영,106-15-69067,,서비스업,
더원,전남대학교,김창환,409-86-18716,스마트뿌리,제조업,광주 북구 첨단벤처로 98 (대촌동)
